구,행정동명,행정동ID_8자리,위도,경도
종로구,청운효자동,11010720,37.583,126.9667
종로구,사직동,11010530,37.57399,126.9708
종로구,삼청동,11010540,37.583382,126.982471
종로구,부암동,11010550,37.59709,126.9628
종로구,평창동,11010560,37.60684,126.97035
종로구,무악동,11010570,37.577335,126.95825
종로구,교남동,11010580,37.57242,126.9639
종로구,가회동,11010600,37.580445,126.9874
종로구,종로1.2.3.4가동,11010610,37.572505,126.988001
종로구,종로5.6가동,11010630,37.57339,127.0056
종로구,이화동,11010640,37.581002,127.003717
종로구,혜화동,11010730,37.58809,126.997947
종로구,창신제1동,11010670,37.572663,127.013788
종로구,창신제2동,11010680,37.5763,127.0103
종로구,창신제3동,11010690,37.57707,127.0131
종로구,숭인제1동,11010700,37.576265,127.0177
종로구,숭인제2동,11010710,37.575825,127.0204
중구,소공동,11020520,37.56423,126.97395
중구,회현동,11020540,37.55746,126.97845
중구,명동,11020550,37.56447,126.984216
중구,필동,11020570,37.55867,126.9955
중구,장충동,11020580,37.56075,127.00415
중구,광희동,11020590,37.564555,127.006235
중구,을지로동,11020600,37.56671,126.9951
중구,신당동,11020690,37.56438,127.0133
중구,다산동,11020700,37.55375,127.00722
중구,약수동,11020710,37.55233,127.01115
중구,청구동,11020720,37.557345,127.01495
중구,신당제5동,11020650,37.5637,127.02144
중구,동화동,11020730,37.56143,127.018495
중구,황학동,11020670,37.56744,127.01967
중구,중림동,11020680,37.55815,126.96649
용산구,후암동,11030510,37.54916,126.979
용산구,용산2가동,11030520,37.5442,126.9856
용산구,남영동,11030530,37.54752,126.97365
용산구,청파동,11030710,37.5478,126.9669
용산구,원효로제1동,11030720,37.5384,126.9666
용산구,원효로제2동,11030570,37.53479,126.9543
용산구,효창동,11030580,37.54272,126.96115
용산구,용문동,11030590,37.5375,126.9587
용산구,한강로동,11030730,37.5298,126.9686
용산구,이촌제1동,11030630,37.5201,126.9751
용산구,이촌제2동,11030640,37.526,126.9551
용산구,이태원제1동,11030650,37.5338,126.9932
용산구,이태원제2동,11030660,37.539615,126.9905
용산구,한남동,11030740,37.535009,127.0036
용산구,서빙고동,11030690,37.522225,126.99385
용산구,보광동,11030700,37.52846,126.9998
성동구,왕십리제2동,11040520,37.56208,127.028961
성동구,왕십리도선동,11040710,37.565552,127.03239
성동구,마장동,11040540,37.567108,127.039291
성동구,사근동,11040550,37.560234,127.045363
성동구,행당제1동,11040560,37.559814,127.035717
성동구,행당제2동,11040570,37.557491,127.03038
성동구,응봉동,11040580,37.551914,127.031349
성동구,금호1가동,11040590,37.553497,127.02499
성동구,금호2.3가동,11040720,37.55038,127.020103
성동구,금호4가동,11040620,37.547267,127.020316
성동구,옥수동,11040730,37.543624,127.015446
성동구,성수1가제1동,11040650,37.540661,127.047726
성동구,성수1가제2동,11040660,37.547642,127.045723
성동구,성수2가제1동,11040670,37.538063,127.055496
성동구,성수2가제3동,11040680,37.544968,127.055975
성동구,송정동,11040690,37.551613,127.067398
성동구,용답동,11040700,37.562515,127.053749
광진구,화양동,11050530,37.54446,127.07027
광진구,군자동,11050540,37.55368,127.07346
광진구,중곡제1동,11050550,37.56223,127.07867
광진구,중곡제2동,11050560,37.558585,127.08493
광진구,중곡제3동,11050570,37.567779,127.08242
광진구,중곡제4동,11050580,37.56104,127.09047
광진구,능동,11050590,37.55323,127.08184
광진구,광장동,11050630,37.54795,127.101886
광진구,자양제1동,11050640,37.535255,127.080445
광진구,자양제2동,11050650,37.530875,127.084345
광진구,자양제3동,11050660,37.53434,127.07255
광진구,자양제4동,11050670,37.5366,127.06536
광진구,구의제1동,11050600,37.54154,127.0866
광진구,구의제2동,11050610,37.55145,127.094395
광진구,구의제3동,11050620,37.53805,127.09224
동대문구,신설동,11060810,37.5755,127.029
동대문구,제기동,11060820,37.584,127.037
동대문구,전농제1동,11060830,37.5788,127.052
동대문구,전농제2동,11060840,37.5793,127.062
동대문구,답십리제1동,11060910,37.5709,127.054
동대문구,답십리제2동,11060860,37.5713,127.06
동대문구,장안제1동,11060870,37.56635,127.067
동대문구,장안제2동,11060880,37.57635,127.072
동대문구,청량리동,11060800,37.58805,127.046
동대문구,회기동,11060710,37.5915,127.053
동대문구,휘경제1동,11060720,37.5921,127.061
동대문구,휘경제2동,11060730,37.5864,127.065
동대문구,이문제1동,11060890,37.5961,127.06
동대문구,이문제2동,11060900,37.6017,127.066
중랑구,면목제2동,11070520,37.58922,127.078346
중랑구,면목제4동,11070540,37.574048,127.085009
중랑구,면목제5동,11070550,37.584309,127.079984
중랑구,면목본동,11070710,37.587922,127.089416
중랑구,면목제7동,11070570,37.578661,127.087006
중랑구,면목제3.8동,11070720,37.583554,127.094651
중랑구,상봉제1동,11070590,37.600109,127.088475
중랑구,상봉제2동,11070600,37.594052,127.084976
중랑구,중화제1동,11070610,37.602464,127.082679
중랑구,중화제2동,11070620,37.598296,127.075592
중랑구,묵제1동,11070640,37.614714,127.080776
중랑구,묵제2동,11070650,37.611198,127.075306
중랑구,망우본동,11070730,37.601395,127.104654
중랑구,망우제3동,11070680,37.592113,127.099434
중랑구,신내1동,11070690,37.612145,127.099586
