지역명,자치구명,지역종류,위도,경도,건물용도,거래유형,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,면적_25,면적_75,㎡당_중앙값
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,아파트,매매,20,보통,해당지역,302500.0,278750.0,365250.0,,,,,107.6,104.4,128.6,2751.695
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,연립다세대,매매,123,높음,법정동,65000.0,52500.0,79850.0,,,,,43.7,36.1,55.2,1529.592
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,오피스텔,매매,19,보통,법정동,21800.0,21300.0,23750.0,,,,,32.4,31.9,32.4,673.686
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,단독다가구,월세,127,높음,법정동,,,,2000.0,,,60.0,38.0,26.4,46.9,
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,아파트,월세,49,높음,해당지역,,,,60000.0,,,160.0,108.1,104.4,123.3,
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,연립다세대,월세,276,높음,법정동,,,,10000.0,,,55.0,38.8,28.2,49.4,
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,오피스텔,월세,92,높음,법정동,,,,1000.0,,,85.0,32.4,31.9,32.4,
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,단독다가구,전세,38,높음,법정동,,,,19000.0,14000.0,29225.0,,40.6,33.5,54.8,427.122
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,아파트,전세,55,높음,해당지역,,,,120000.0,97500.0,130600.0,,123.3,105.8,155.1,816.358
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,연립다세대,전세,245,높음,법정동,,,,32500.0,26500.0,40000.0,,43.1,29.9,55.2,720.165
개포1동,강남구,행정동,37.4832950845061,127.0557707609234,오피스텔,전세,33,높음,법정동,,,,20000.0,19000.0,27500.0,,32.4,31.9,37.0,653.753
